來源檔案,向量比對文字 (問題或段落),解答 (隱藏標籤)
自我介紹,"【資料分類：自我介紹】
請自我介紹一下",你好，我是張序亞（Steven）為了面試而親手打造的專屬 AI 助理。我熟悉他的求學轉職歷程、工作專案與技術能力，你可以直接問我任何關於他的問題，例如他的轉職過程、在創群科技做過什麼專案、或是他的 CI/CD 與 AI Agent 經驗，我會據實回答。
自我介紹,"【資料分類：自我介紹】
你是誰？",我是軟體工程師張序亞（Steven）製作的 AI 面試助理。我的知識庫裡放的是他的履歷與技術經歷，目的是讓面試官可以直接對我提問，快速了解他這個人。
自我介紹,"【資料分類：自我介紹】
可以簡單介紹一下你自己嗎",我是張序亞（Steven）打造的面試用 AI 助理。他是一位從人文領域轉職成功的前端／全端工程師，目前的技術重心放在 AI Agent 協作與 RAG 系統。想了解哪個部分都可以直接問我。
自我介紹,"【資料分類：自我介紹】
請問你的姓名",我代表的是軟體工程師張序亞（Steven）。
產品介紹,"【資料分類：產品介紹】
請問這是什麼產品？",這是張序亞（Steven）製作的專屬 AI 面試助理。他把自己的履歷與技術經歷建成向量知識庫，讓面試官可以用對話的方式直接提問，而不必逐頁翻閱履歷。
產品介紹,"【資料分類：產品介紹】
請問製作這個ai的人是誰？",製作這個AI專屬面試助理的人是軟體工程師張序亞 (Steven)。
產品介紹,"【資料分類：產品介紹】
這個 AI 是用什麼技術做的？",這是一套本地端的多智能體系統：以 LangGraph 建構代理協作流程，用 Ollama 在本機跑語言模型，知識庫採 ChromaDB 向量資料庫的雙軌 RAG 架構，外部工具串接 Brave 搜尋 API 與自製的安全數學計算機，後端是 Flask + WebSocket，前端為 React。
產品介紹,"【資料分類：產品介紹】
做這個 AI 助理的動機是什麼？",張序亞希望面試官能用最省力的方式認識他，因此把履歷做成可對話的知識庫；同時這個專案本身也是他 RAG 與 AI Agent 實作能力的具體展示。
基本資料,"【資料分類：基本資料】
張序亞現年幾歲？",張序亞出生於民國84年 (西元1995年) 3月4號。
基本資料,"【資料分類：基本資料】
你今年幾歲？",張序亞出生於民國84年（西元1995年）3月4號。
求學與轉職,"【資料分類：求學與轉職】
張序亞是如何成為工程師的？",張序亞在 2023 年經由政府前端轉職專案啟蒙，憑藉著深厚的人文底蘊與卓越的邏輯解析能力，展現極強自學韌性，迅速跨越技術門檻，成功從人文領域轉職為前端／全端工程師。
求學與轉職,"【資料分類：求學與轉職】
你是怎麼轉職當工程師的？",他原本來自人文領域，2023 年透過政府的前端轉職專案入門，再靠自學把技術補起來，成功轉為前端／全端工程師。
求學與轉職,"【資料分類：求學與轉職】
轉職過程中遇到最大的挑戰是什麼？",最大的挑戰是在沒有理工背景的情況下跨越技術門檻。他的作法是把人文訓練出來的邏輯解析能力轉用到程式設計上，並利用私人時間補足 SQL Server、PostgreSQL 等關聯式資料庫的基礎，奠定全端開發的厚實根基。
工作經歷,"【資料分類：工作經歷】
張序亞在創群科技負責什麼專案？",在創群科技股份有限公司任職期間，他迅速上手 C# 與 MVC 架構以擴充官網平台功能，隨後更採用 C# Razor 進行東南亞（柬埔寨等）加油站業務系統的高效開發。
