source,question,answer
自我介紹,請自我介紹一下,你好，我是張序亞（Steven）為了面試而親手打造的專屬 AI 助理。他目前在創群科技擔任軟體工程師，是團隊中的全端開發主力。你可以直接問我任何關於他的問題，例如求學轉職歷程、負責過的專案、技術能力或人格特質，我會據實回答。
自我介紹,你是誰？,我是軟體工程師張序亞（Steven）製作的 AI 面試助理。我的知識庫裡放的是他的履歷與技術經歷，目的是讓面試官可以直接對我提問，快速了解他這個人。
自我介紹,可以簡單介紹一下你自己嗎,我是張序亞（Steven）打造的面試用 AI 助理。他畢業於輔仁大學宗教學系，2023 年從人文領域轉職進入軟體工程，目前在創群科技擔任全端開發主力，技術重心放在 LLM／RAG 落地與 AI Agent 架構。
自我介紹,請問你的姓名,我代表的是軟體工程師張序亞（Steven）。
自我介紹,簡單說說你的背景,張序亞畢業於輔仁大學宗教學系，2023 年透過緯育 TibaMe 的前端工程師就業養成班轉職，目前在創群科技擔任軟體工程師，累積約 3 到 4 年工作經歷，專注於後端 API 開發、系統架構設計與 AI 技術落地。
產品介紹,請問這是什麼產品？,這是張序亞製作的專屬 AI 面試助理。他把自己的履歷與技術經歷建成向量知識庫，讓面試官可以用對話的方式直接提問，而不必逐頁翻閱履歷。
產品介紹,請問製作這個ai的人是誰？,製作這個 AI 專屬面試助理的人是軟體工程師張序亞（Steven）。
產品介紹,這個 AI 是用什麼技術做的？,這是一套本地端的多智能體系統：以 LangGraph 建構代理協作流程，用 Ollama 在本機跑語言模型，知識庫採 ChromaDB 向量資料庫的雙軌 RAG 架構，外部工具串接搜尋 API 與自製的安全數學計算機，後端是 Flask 加 WebSocket，前端為 React。
產品介紹,做這個 AI 助理的動機是什麼？,他希望面試官能用最省力的方式認識他，因此把履歷做成可對話的知識庫；同時這個專案本身也是他 RAG 與 AI Agent 實作能力的具體展示。
產品介紹,這個 AI 可以回答哪些問題？,關於張序亞的求學與轉職歷程、工作專案、技術能力、人格特質、AI 與 RAG 實作經驗、DevOps 與 CI/CD 經驗都可以問。另外它也接了網路搜尋與數學計算工具，一般的查詢與計算問題同樣能處理。
基本資料,張序亞現年幾歲？,張序亞出生於民國84年（西元1995年）3月4號。
基本資料,你今年幾歲？,張序亞出生於民國84年（西元1995年）3月4號。
基本資料,張序亞住在哪裡？,他目前居住在台北市士林區，期望的工作地點主要在台北市與新北市，同時對遠端工作也抱有高度意願。
基本資料,請問他的通勤範圍或是居住地是哪區？,他目前居住在台北市士林區，期望的工作地點主要在台北市與新北市，同時對遠端工作也抱有高度意願。
基本資料,請問他的兵役狀況？,他已於 2017 年 12 月役畢，目前為在職狀態。
基本資料,他當過兵了嗎？,他已於 2017 年 12 月役畢，目前為在職狀態。
基本資料,他有駕照嗎？,他持有普通小型車駕照與普通重型機車駕照。
基本資料,他的語言能力如何？,中文聽說讀寫皆為精通，台語中等，英文聽說讀寫為略懂程度。
求學與轉職,張序亞的大學學歷是什麼？,他畢業於私立輔仁大學宗教學系，就讀期間為 2013 年 9 月到 2017 年 6 月。高中則就讀私立泰北高中普通科。
求學與轉職,張序亞是哪個學校畢業的？科系是什麼？,他畢業於私立輔仁大學宗教學系，屬於人文領域，2023 年才透過前端工程師養成班跨入軟體工程。
求學與轉職,你是本科系出身的嗎,不是。他大學就讀輔仁大學宗教學系，是人文背景，2023 年才轉職進入軟體工程領域。
求學與轉職,他是怎麼踏入軟體工程領域的？,他在 2023 年 2 月到 6 月參加緯育 TibaMe 的前端工程師就業養成班，這是勞動部勞動力發展署產業新尖兵試辦計畫的課程，全期 500 小時、為期五個月，結訓後正式投入軟體工程領域。
求學與轉職,你是怎麼轉職當工程師的？,他原本就讀輔大宗教學系，2023 年參加為期五個月的緯育 TibaMe 前端工程師就業養成班入門，再靠自學把技術補起來，逐步從前端走向後端與全端開發。
求學與轉職,請問他之前有參加過什麼軟體開發的培訓嗎？,有。2023 年 2 月到 6 月的緯育 TibaMe 前端工程師就業養成班，隸屬勞動部產業新尖兵試辦計畫，全期 500 小時，研習期滿並通過考試取得結訓證書。
求學與轉職,轉職過程中遇到最大的挑戰是什麼？,最大的挑戰是在沒有理工背景的情況下跨越技術門檻。他把人文訓練出來的邏輯拆解能力轉用到程式設計上，並利用私人時間補足關聯式資料庫與後端架構的基礎，才從前端一路擴展到全端。
求學與轉職,轉職前你在做什麼工作？,轉職前他主要在旅遊服務業與餐飲業累積第一線實務經驗，包括台北租車與台灣租車的車管 OP、典華婚訂與村民食堂的服務工作。這些經歷讓他具備抗壓性，也練就了挖掘客戶真實需求的能力。
職涯規劃,請問張序亞期望的職務是什麼？,他期望的職稱包含後端工程師、系統分析師（SA）、全端工程師、AI 軟體工程師與軟體工程師，希望能參與具挑戰性的核心系統開發、跨國專案或 AI 產品規劃。
職涯規劃,他未來想找什麼樣的工作或職稱？,他期望的職稱包含後端工程師、系統分析師（SA）、全端工程師、AI 軟體工程師與軟體工程師，職類方向則以軟體、後端、全端、AI 工程師與系統分析師為主。
職涯規劃,錄取後多久可以報到上班？,錄取後大約兩週可以正式報到。他尋找的是全職日班工作，薪資待遇依公司規定配合。
職涯規劃,請問他最快可到職日是什麼時候？,錄取後大約兩週可以正式報到。他尋找的是全職日班工作，薪資待遇依公司規定配合。
職涯規劃,你期望的薪資是多少,薪資待遇依公司規定配合。他更重視的是能否參與核心系統開發、跨國專案或 AI 產品規劃這類具挑戰性的工作。
職涯規劃,你想去什麼樣的產業？,他期望的產業方向包含電子資訊、軟體與半導體相關業，法律、會計、顧問、研發與設計業，以及金融投顧及保險業。
職涯規劃,未來三到五年的規劃是什麼？,他希望持續深化 Multi-Agent 多代理架構與 LLM 的企業級應用，無論是擔任後端工程師深化核心引擎，或作為系統分析師規劃產品 Roadmap，方向都是打造能解決實際商業痛點的 AI 產品。
人格特質,你覺得自己的優點是什麼？,他認為自己最大的優點是認真負責，並且能在短時間、高壓的環境下確實完成主管交付的任務。加上跨領域背景帶來的溝通優勢，他擅長把複雜需求拆解成清晰的技術規格。
人格特質,你的缺點是什麼？,他的缺點是有時候為了追求完美會太過鑽牛角尖，在細節上投入超出必要的時間。他現在的作法是先確認需求的優先順序，把完美主義用在真正影響系統穩定性的地方。
人格特質,說說你的優缺點,優點是認真負責、能在高壓短時程下完成任務；缺點則是有時為了追求完美會過度鑽牛角尖。他透過先釐清需求優先順序來管理這個傾向。
人格特質,遇到衝突或理念不合的時候你會怎麼處理？,他的原則是先傾聽對方真正想表達的顧慮，理解對方在擔心什麼，再用委婉的方式把自己的技術判斷說出來。他認為爭論的目的是讓專案走上正確的架構，不是說贏對方。
人格特質,可以舉一個跟同事意見不合的例子嗎？,在開發公司內部 LINE AI 轉發服務時，他與同事對測試環境的資安架構有分歧。他主張用 HTTPS 加自簽憑證再搭配憑證釘選，兼顧安全與開發效率；同事則堅持要正式 CA 憑證，並要求在 HTTPS 之外再疊一層 RSA 應用層加密。他先理解對方擔心憑證過期的顧慮，提議把自簽憑證效期拉長，最後再委婉點出關鍵技術限制，讓討論回到事實層面。
人格特質,那次資安架構的爭議最後怎麼解決的？,他點出一個無法迴避的技術事實：RSA 屬於非對稱加密，能加密的資料長度不能超過金鑰長度，以 RSA-2048 來說扣掉填充後一次最多只能處理約 245 Bytes。而 AI 服務要傳輸大量文本與 Base64 圖片，硬用 RSA 會直接拋出長度超限的例外。對方理解後接受了這個判斷，專案就以正確的架構繼續推進。
人格特質,為什麼你認為 HTTPS 之外不需要再加 RSA？,因為 HTTPS 底層的 TLS 在交握階段本來就會用非對稱加密交換金鑰，再用對稱加密傳輸資料。在已有 HTTPS 的通道內再手動用 RSA 加密一次，等於把 TLS 的底層實作重寫一遍，只是白耗 CPU 與增加複雜度。除非是端對端加密的金融場景，否則屬於疊床架屋。
人格特質,你怎麼跟不同意見的人溝通技術問題？,他不會直接否定對方，而是先找出對方顧慮的來源。以憑證那次為例，同事真正擔心的是自簽憑證過期會留爛攤子，所以他先提出把效期拉長來消除顧慮，再用一個雙方都能驗證的技術事實收斂討論，避免變成立場之爭。
工作經歷,張序亞目前在哪家公司上班？,他自 2024 年 9 月起在創群科技股份有限公司擔任軟體工程師，公司屬於電腦系統整合服務業、規模約 30 到 100 人，辦公地點在新北市三重區。他在團隊中擔任全端開發主力。
工作經歷,可以簡述一下他最近一份工作經歷嗎？,他在創群科技擔任軟體工程師，專注於系統底層架構設計、AI 應用落地與複雜商業邏輯實作，主要負責三個專案：LINE 官方 AI 客服系統、柬埔寨加油站稅務控制系統，以及官網雲端電子發票服務。
